entrez_human	ensembl_gene_id	gene_symbol	entrez_rat	entrez_mouse	Unirprot_Human	Uniprot_Rat	Uniprot_mouse	gene_name	synonym	DbTF	pubmed_id	evidence.type	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi.et.al	TcoF.DB	TFCat	TFClass_human	TFclass_mouse	Vaquerizas.et.al	pubmed_id.1	taxon	pubmed_id.2	taxon.1	pubmed_id.3	taxon.2	pubmed_id.4	taxon.3	pubmed_id.5	taxon.4	pubmed_id.6	taxon.5	GOC981.select_EC
4807	ENSG00000171786	NHLH1	289230	18071	Q02575,Q5T203	D3ZN93	Q02576,Q3UEV3	nescient helix loop helix 1	HEN1|NSCL|NSCL1|BHLHA35	yes	8289804, 12878195	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	12878195	9606	8289804	10116	0	0	0	0	0	0	0	0	981
6736	ENSG00000184895	SRY	25221	21674	A7WPU8,Q05066	Q9ERV8	Q05738,Q53WV7	sex determining region Y	SRXX1|SRXY1|TDF|TDY	yes	7813448, 8190643	Experimental	AnimalTFDB	0	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	8190643	9606	7813448	9606	0	0	0	0	0	0	0	0	981
8061	ENSG00000175592	FOSL1	25445	14283	P15407	P10158	P48755,Q3UMK5	FOS-like antigen 1	FRA|FRA1|FRA-1	yes	7791782, 15608675	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15608675	9606	7791782	10116	0	0	0	0	0	0	0	0	981
3169	ENSG00000129514	FOXA1	25098	15375	P55317	P23512	P35582	forkhead box A1	HNF3A|TCF3A	yes	2227418, 15485926, 20018680	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20018680	9606	15485926	10116	2227418	10116	0	0	0	0	0	0	981
1050	ENSG00000245848	CEBPA	24252	12606	P49715	P05554	P53566	CCAAT/enhancer binding protein (C/EBP), alpha	C/EBP-ALPHA|CEBP	yes	2227417, 8632009	Experimental	AnimalTFDB	0	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	8632009	10116	2227417	10116	0	0	0	0	0	0	0	0	981
5970	ENSG00000173039	RELA	309165	19697	Q04206	Q7TQN4	Q04207,Q548Y4	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	NFKB3|P65	yes	1935902, 15485852, 15857826	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15857826	10090	15485852	9606	1935902	9606	0	0	0	0	0	0	981
5079	ENSG00000196092	PAX5	500453	18507	C0KTE5,C0KTF5,E7EQT0,E7ERK2,E7ERW5,E7ES87,Q02548	0	Q02650	paired box 5	BSAP	yes	19139719, 8406007	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19139719	9606	8406007	9606	0	0	0	0	0	0	0	0	981
135935	ENSG00000106410	NOBOX	502759	18291	O60393	D3ZXL8	Q8VIH1	NOBOX oogenesis homeobox	OG-2|OG2|OG2X|POF5|TCAG_12042	yes	16997917, 16997917	Experimental	AnimalTFDB	DBD	GOC	JASPAR	0	0	TcoF-DB	TFCat	TFclass	0	Vaquerizas et al	16997917	10090	16997917	9606	0	0	0	0	0	0	0	0	981
135935	ENSG00000285328	NOBOX	502759	18291	O60393	D3ZXL8	Q8VIH1	NOBOX oogenesis homeobox	OG-2|OG2|OG2X|POF5|TCAG_12042	yes	16997917, 16997917	Experimental	AnimalTFDB	DBD	GOC	JASPAR	0	0	TcoF-DB	TFCat	TFclass	0	Vaquerizas et al	16997917	10090	16997917	9606	0	0	0	0	0	0	0	0	981
2623	ENSG00000102145	GATA1	25172	14460	P15976	P43429	P17679	GATA binding protein 1 (globin transcription factor 1)	ERYF1|GATA-1|GF-1|GF1|NFE1|XLANP|XLTDA|XLTT	yes	1650452, 2725678	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	2725678	10090	1650452	10090	0	0	0	0	0	0	0	0	981
1051	ENSG00000172216	CEBPB	24253	12608	P17676	P21272	P28033,Q3UPN9	CCAAT/enhancer binding protein (C/EBP), beta	C/EBP-BETA|CRP2|IL6DBP|LAP|NF-IL6|TCF5	yes	15308669, 15713650	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15713650	10090	15308669	10116	0	0	0	0	0	0	0	0	981
3091	ENSG00000100644	HIF1A	29560	15251	D0VY79,Q16665	O35800	Q3UCW2,Q61221	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	HIF-1A|HIF-1ALPHA|HIF1|HIF1-ALPHA|MOP1|PASD8|BHLHE78	yes	15111179, 20427574	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20427574	9606	15111179	9606	0	0	0	0	0	0	0	0	981
1406	ENSG00000105392	CRX	60446	12951	O43186	Q9JLT8,Q9WTQ9	O54751,Q543C9	cone-rod homeobox	CORD2|CRD|LCA7|OTX3	yes	15001570, 16332268	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16332268	10090	15001570	9606	0	0	0	0	0	0	0	0	981
1385	ENSG00000118260	CREB1	81646	12912	P16220,Q53X93,Q5U0J5	P15337	Q01147,Q543W0,Q547S9,Q62347	cAMP responsive element binding protein 1	CREB	yes	14593102, 15054091	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15054091	10090	14593102	10090	0	0	0	0	0	0	0	0	981
2313	ENSG00000151702	FLI1	315532	14247	Q01543	Q4Z8P1	P26323,Q544B3,Q8BZ56	Friend leukemia virus integration 1	EWSR2|SIC-1	yes	1445800, 8449942, 8449942, 8502483, 12065417, 14570912	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	14570912	10090	12065417	10090	8502483	9606	8449942	10090	8449942	9606	1445800	10090	981
6660	ENSG00000134532	SOX5	140587	20678	P35711,T2CYZ2	0	B2KFM4,B2KFM9,P35710,Q2TBA9,Q3TVF9,Q8C4K8	SRY (sex determining region Y)-box 5	L-SOX5	yes	1396566, 8078769, 9755172	Experimental	AnimalTFDB	0	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	9755172	10090	8078769	10090	1396566	10090	0	0	0	0	0	0	981
2296	ENSG00000054598	FOXC1	364706	17300	Q12948,W6CJ52	M0RCA0	Q61572	forkhead box C1	ARA|FKHL7|FREAC-3|FREAC3|IGDA|IHG1|IRID1|RIEG3	yes	12533514, 15684392	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15684392	9606	12533514	10090	0	0	0	0	0	0	0	0	981
1879	ENSG00000164330	EBF1	116543	13591	B4E2U8,Q9UH73	Q63398	Q07802,Q3UTW6,Q5SWK4,Q5SWK5,Q5SWK8,Q8CBL7	early B-cell factor 1	COE1|EBF|O/E-1|OLF1	yes	12446773, 20543837	Experimental	AnimalTFDB	0	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	20543837	10090	12446773	10090	0	0	0	0	0	0	0	0	981
3725	ENSG00000177606	JUN	24516	16476	P05412	P17325	P05627,Q52L79	jun proto-oncogene	AP-1|AP1|C-JUN	yes	12215258, 15494506	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15494506	10090	12215258	10090	0	0	0	0	0	0	0	0	981
4929	ENSG00000153234	NR4A2	54278	18227	F1D8N6,P43354,Q53EL4	Q07917,Q3LZI5	Q06219,Q3TYI4	nuclear receptor subfamily 4, group A, member 2	HZF-3|NOT|NURR1|RNR1|TINUR	yes	12122012, 15485875	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15485875	10090;10116	12122012	9606	0	0	0	0	0	0	0	0	981
4800	ENSG00000001167	NFYA	29508	18044	P23511	P18576	E0CYF3,P23708,Q3UP82,Q9DBV7	nuclear transcription factor Y, alpha	CBF-A|CBF-B|HAP2|NF-YA	yes	12070012, 15601870	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15601870	10090	12070012	9606	0	0	0	0	0	0	0	0	981
1997	ENSG00000120690	ELF1	85424	13709	P32519,Q6MZZ4	G3V9V2,Q9EQY2,Q9EQY3	Q3UQ47,Q3V1H4,Q60775	E74-like factor 1 (ets domain transcription factor)	0	yes	12065417, 16002702	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16002702	10090	12065417	10090	0	0	0	0	0	0	0	0	981
4089	ENSG00000141646	SMAD4	50554	17128	Q13485	O70437	E3SRG7,P97471	SMAD family member 4	DPC4|JIP|MADH4|MYHRS	yes	11788714, 14741200, 15240101	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15240101	9606	14741200	9606	11788714	10090	0	0	0	0	0	0	981
5076	ENSG00000075891	PAX2	293992	18504	Q02962	D4ACZ2	P32114	paired box 2	PAPRS	yes	11731455, 12756174, 12756174, 14561758	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	14561758	10090	12756174	10090	12756174	10090	11731455	10090	0	0	0	0	981
860	ENSG00000124813	RUNX2	367218	12393	Q13950,Q32MY8	F1M9C5	E0CZ12,F8WHN7,Q08775,Q9Z2T9	runt-related transcription factor 2	AML3|CBFA1|CCD|CCD1|OSF-2|OSF2|PEA2AA|PEBP2A1|PEBP2A2|PEBP2AA|PEBP2AA1	yes	11451945, 16574347	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16574347	10090	11451945	10090	0	0	0	0	0	0	0	0	981
93986	ENSG00000128573	FOXP2	500037	114142	B7ZLK5,O15409,Q8N6B5,Q8N6B6,X5D2H2	P0CF24	P58463	forkhead box P2	CAGH44|SPCH1|TNRC10	yes	11358962, 14701752	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	14701752	10090	11358962	9606;10090	0	0	0	0	0	0	0	0	981
6722	ENSG00000112658	SRF	501099	20807	B4DU24,P11831	D3ZHH8	Q9JM73	serum response factor (c-fos serum response element-binding transcription factor)	MCM1	yes	11278806, 15728583, 16170155	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16170155	9606	15728583	10090	11278806	10090	0	0	0	0	0	0	981
4087	ENSG00000175387	SMAD2	29357	17126	B7Z5N5,Q15796,Q53XR6	O70436	Q62432	SMAD family member 2	JV18|JV18-1|MADH2|MADR2|HMAD-2|HSMAD2	yes	11139470, 18471442	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	18471442	9606	11139470	9606	0	0	0	0	0	0	0	0	981
2099	ENSG00000091831	ESR1	24890	13982	A8KAF4,G4XH65,P03372,Q9UBT1	D0FYH4,P06211	E7FJU2,P19785	estrogen receptor 1	ER|ESR|ESRA|ERA|NR3A1	yes	10908317, 16636675	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16636675	9606	10908317	9606	0	0	0	0	0	0	0	0	981
2551	ENSG00000154727	GABPA	363735	14390	A8IE48,Q06546,Q8IYS3	D4ACQ9	Q00422	GA binding protein transcription factor, alpha subunit 60kDa	E4TF1-60|E4TF1A|NFT2|NRF2|NRF2A|RCH04A07	yes	10773883, 15361867	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15361867	10090	10773883	10090	0	0	0	0	0	0	0	0	981
26298	ENSG00000135373	EHF	295965	13661	Q9NZC4	B2RYD8	O70273	ets homologous factor	ESE3|ESE3B|ESEJ	yes	10644770, 17027647	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	17027647	9606	10644770	9606	0	0	0	0	0	0	0	0	981
10538	ENSG00000156127	BATF	299206	53314	Q16520	D4A7E1	O35284	basic leucine zipper transcription factor, ATF-like	B-ATF|BATF1|SFA-2|SFA2	yes	21873234	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	21873234	10090	0	0	0	0	0	0	0	0	0	0	981
4211	ENSG00000143995	MEIS1	686117	17268	F5GYS8,O00470	B1WC31	Q60954	Meis homeobox 1	0	yes	19799567	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19799567	9606	0	0	0	0	0	0	0	0	0	0	981
8626	ENSG00000073282	TP63	246334	22061	Q9H3D4	Q9JJP6	O88898,Q3UVI3,Q569E5,Q5CZX0	tumor protein p63	AIS|B(P51A)|B(P51B)|EEC3|KET|LMS|NBP|OFC8|RHS|SHFM4|TP53CP|TP53L|TP73L|P40|P51|P53CP|P63|P73H|P73L	yes	19458633	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19458633	9606	0	0	0	0	0	0	0	0	0	0	981
6662	ENSG00000125398	SOX9	140586	20682	P48436	F1LYL9	Q04887	SRY (sex determining region Y)-box 9	CMD1|CMPD1|SRA1	yes	19322650	Experimental	AnimalTFDB	0	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	19322650	9606	0	0	0	0	0	0	0	0	0	0	981
27086	ENSG00000114861	FOXP1	297480	108655	E9PFD3,Q548T7,Q8N2P0,Q8TEA2,Q9H334	Q498D1	D3Z6Q3,E2S038,H3BJ24,H3BLF2,P58462	forkhead box P1	12CC4|QRF1|HFKH1B	yes	18640093	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	18640093	9606	0	0	0	0	0	0	0	0	0	0	981
3642	ENSG00000173404	INSM1	366210	53626	Q01101	0	Q05BD7,Q63ZV0	insulinoma-associated 1	IA-1|IA1	yes	18417529	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	18417529	9606	0	0	0	0	0	0	0	0	0	0	981
4094	ENSG00000178573	MAF	54267	17132	O75444	P54844	P54843	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	CCA4|C-MAF	yes	17897790	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	17897790	10090	0	0	0	0	0	0	0	0	0	0	981
4656	ENSG00000122180	MYOG	29148	17928	P15173	O70425,P20428	P12979	myogenin (myogenic factor 4)	MYF4|BHLHC3|MYF-4	yes	17531403	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	17531403	9606;10090	0	0	0	0	0	0	0	0	0	0	981
3170	ENSG00000125798	FOXA2	25099	15376	B0ZTD4,Q9Y261	P32182	G5E8P5,P35583	forkhead box A2	HNF3B|TCF3B	yes	16847327	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16847327	10090	0	0	0	0	0	0	0	0	0	0	981
2908	ENSG00000113580	NR3C1	24413	14815	E5KQF5,E5KQF6,F1D8N4,P04150	P06536	E9PUR6,E9PYV1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	GCCR|GCR|GR|GRL	yes	16728402	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16728402	9606	0	0	0	0	0	0	0	0	0	0	981
688	ENSG00000102554	KLF5	84410	12224	A2TJX0,Q13887,Q5T6X2	Q66HP1	Q9Z0Z7	Kruppel-like factor 5 (intestinal)	BTEB2|CKLF|IKLF	yes	16595680	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16595680	9606	0	0	0	0	0	0	0	0	0	0	981
4609	ENSG00000136997	MYC	24577	17869	P01106	P09416	B2RSN1,P01108	v-myc myelocytomatosis viral oncogene homolog (avian)	MRTL|BHLHE39|C-MYC	yes	16287840	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	16287840	9606	0	0	0	0	0	0	0	0	0	0	981
8928	ENSG00000160973	FOXH1	300054	14106	O75593	G3V7Y6	O88621,Q0VEP8	forkhead box H1	FAST-1|FAST1	yes	15982639	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15982639	10090	0	0	0	0	0	0	0	0	0	0	981
3195	ENSG00000107807	TLX1	499361	21908	P31314	D4A270	Q9QX99	T-cell leukemia homeobox 1	HOX11|TCL3	yes	15944191	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15944191	10090	0	0	0	0	0	0	0	0	0	0	981
6657	ENSG00000181449	SOX2	499593	20674	P48431	D4A543	P48432,Q3V2B6,Q60I23	SRY (sex determining region Y)-box 2	ANOP3|MCOPS3	yes	15860457	Experimental	AnimalTFDB	0	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15860457	9606;10090	0	0	0	0	0	0	0	0	0	0	981
4780	ENSG00000116044	NFE2L2	83619	18024	Q16236	O54968	Q60795	nuclear factor (erythroid-derived 2)-like 2	NRF2	yes	15728556	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15728556	10090	0	0	0	0	0	0	0	0	0	0	981
579	ENSG00000109705	NKX3-2	0	12020	P78367	0	P97503	NK3 homeobox 2	BAPX1|NKX3.2|NKX3B|SMMD	yes	15703179	Experimental	AnimalTFDB	DBD	GOC	JASPAR	ORFeome	Ravasi et al	TcoF-DB	TFCat	TFclass	TFclass_mouse	Vaquerizas et al	15703179	10090	0	0	0	0	0	0	0	0	0	0	981
